"title","season","episode","rating","votes","original air date","plot","movieID","runtime_min"
"Brave New World","3","10","8.101234567891","339","11 Jan. 2006","Lucas and Peyton take a road trip together to find Ellie. While out of town, Lucas reconnects with a friend from his past.","666217","43"
"Return of the Future","3","11","8.101234567891","327","18 Jan. 2006","Another terrible Ravens game; coach blames everything on total lack of team spirit. Keith is back, admitting to Lucas his fiancé Jules was not what he hoped, and just no match for Karen. Brooke must take the couch at Nathans place, but gets invited for Rogue Vogue, a fashion talent show in New York. Nathan fears Dan was right to suggest Haleys sudden lack of birth control is all too convenient. Coach punishes the boys by transferring them from the glorious stadium to a dump which they must first clean up; Nathan walks out, but after talking to Lucas and Dan about his ...","666239","43"
"I've Got Dreams to Remember","3","12","8.301234567891","340","25 Jan. 2006","Keith is arrested as suspect for the arson attempt on his brother Dan, but to the mayors anger soon released for lack of proof. The kids are supposed to get counseling about choosing a college, but nearly all have their minds elsewhere. Nathan and Haley make up, but have chosen colleges 3000 miles apart. Brooke believes Rachel deliberately entered her for the New York fashion contest because it's the same day as the cheerleaders' high-day, the Classic. Ellie insists Peyton shouldn't doubt about going to college at all. Mouth has enough of Brookes bitching, so he goes ...","666231","43"
"The Wind That Blew My Heart Away","3","13","9.101234567891","470","1 Feb. 2006","During a bad storm, Lucas spends the night with Brooke, who is upset because the last line of his letter is identical to one he once wrote to Peyton about love forever; he must chase her in the pouring rain, suggesting she just wants an excuse to break up; they make up in bed. Now Haley's record is finished after three weeks, Ellie plans to leave Peyton again but stays during the storm, reminiscing. Mouth visits Rachel to watch a movie in her bedroom, she tries to build up his confidence and coach him in womanizing, he wants to remain his honest self, turns down ...","666258","60"
"All Tomorrow's Parties","3","14","8.701234567891","403","8 Feb. 2006","It's the weekend of the Classic in Charlotte for the Ravens and their cheerleaders. Haley and Peyton go on a road trip with Brooke to New York for the Rogue Vogue fashion show before hopping on a plane to Charlotte in time for the secret sparkle classic cheer competition. A schedule change in New York though means Brooke has a big decision to make. Rachel does everything she can to mess with Brooke and Coach Durham interferes with chaperones Karen and Keith's weekend.","762897","42"
"Just Watch the Fireworks","3","15","8.801234567891","390","15 Feb. 2006","Last year's time-capsule is maliciously opened 49 years early, revealing many kids' embarrassing secrets, lies and even worse truths, shown on TV screens at school and even on the Internet. Peyton prepares a benefit for the National Breast-cancer action, in memory of her recently deceased ma Ellie Harp; it rocks and brings most kids back together. Keith announces his engagement to Karen and his plan to adopt Lucas. Jimmy Edwards, who bagged the worst on everyone in his time-capsule speech, gets roughed up, but the Scott brothers, Mouth and Rachel save his bacon. Dan ...","762898","44"
"With Tired Eyes, Tired Minds, Tired Souls, We Slept","3","16","9.701234567891","1633","1 Mar. 2006","A dangerous day at Tree Hill High gives Nathan and Lucas a common goal, as they put their lives on the line to save their friends when a distraught student comes to school with a gun and holds Haley hostage.","757574","44"
"Who Will Survive, and What Will Be Left of Them","3","17","9.001234567891","435","29 Mar. 2006","Keith Scott's funeral arouses memories, especially from his one-day bride-to-be Karen and his brother and killer Dan about their childhood, so he starts to feel haunted by Keith as a little boy, then his beloved big brother. Lucas won't hear a word about mad student Jimmy Edwards, thinking as everybody he was the murderer before the kid committed suicide. Nathan is so happy again with Haley that he tells her, now his ma Deb is returning, they will move out of the parental home and back with Brooke- his love for Haley is the center of Nathans life again. The school has...","762899","43"
"When It Isn't Like It Should Be","3","18","8.501234567891","401","5 Apr. 2006","Now things are getting normal again, Rachel invites the kids for a weekend in her parents' vast 'cabin' in the woods, complete with quads. She invites Mouth with her to the master bedroom, but he declines: he's there for his friends, not her, and won't forgive her time-capsule stunt- he bunks with Peyton, whose leg still isn't healed. Nathan plans to propose again to Haley, so the girls freak when she can't find her wedding ring which he took to that romantic end; Lucas tips off Brooke, now the two are like pees in a pod again, but Haley sees them 'having found the ...","776250","43"
"I Slept with Someone in Fall Out Boy and All I Got Was This Stupid Song Written About Me","3","19","8.301234567891","355","12 Apr. 2006","At his first game after Keith's funeral, Lucas feels unable to play, so Nathan decides the Ravens forfeit, but insists to Lucas that should be a one-off, especially in coach's last season. Nathan and Haley are too cozy in bed, contemplating a second wedding, to unpack. At 1 AM his Uncle Cooper 'Coop' Lee turns up, telling he has a new girl-friend in One Tree Hill. Peyton is delighted when Pete from Fall Out Boy turns up in a stretched limo, but daddy Larry forbids all nightly visits. Deb is back and offers Karen all possible help, but is told off as a failed murderer....","777104","60"
"Everyday Is a Sunday Evening","3","20","8.501234567891","396","19 Apr. 2006","Damien West from Oak Lake, undefeated adversaries, challenges the Ravens and even his High Flyers-""mate"" Nathan for Haley; Lucas is still too sick to perform, but Nathan singlehandedly holds the fort even though his entire body aches, while Haley still enforces their prenuptial sex-moratorium. Jake tells Peyton he had to make up with Nikki, who has Jenny most of the time but actually shows some maternal talent; he became a great singer, but shies away from intimacy with Peyton- well, not for too long, and that's enough to make her decide she's ready to leave Tree Hill...","776593","44"
"Over the Hills and Far Away","3","21","8.401234567891","382","26 Apr. 2006","On the night before Nathan and Haleys wedding, Brooke argues with Haley over the wedding dress. Meanwhile, Lucas and Karen return.","776594","44"
"The Show Must Go On","3","22","9.301234567891","599","3 May 2006","Nathan and Haley's wedding is a time of great joy. And great sadness. Peyton and Brooke fall out, Dan learns the truth about the fire, and Rachel gets publicly drunk....and publicly bitter.","793217","45"
"The Same Deep Water as You","4","1","8.501234567891","426","27 Sep. 2006","The aftermath of the post-wedding car accident unfolds. Haley is deeply affected by Nathan's attempt to rescue Cooper and Rachel, Brooke confronts Lucas with her true feelings and Peyton makes a startling discovery. Pressured by the fact that someone might know he killed his brother, Dan assaults Deb.","824076","43"
"Things I Forgot at Birth","4","2","7.801234567891","352","4 Oct. 2006","As Nathan, Rachel and Cooper's lives remain precarious following the car accident, Brooke celebrates her 18th birthday but finds it diminished by her struggles with Peyton. Lucas and Karen come to terms with her pregnancy and with the pregnancy of someone close to Lucas, while Deb's past addictions intersect with Haley in an explosive manner.","834744","43"
"Good News for People Who Love Bad News","4","3","8.101234567891","344","11 Oct. 2006","Lucas and Brooke, now broken up, clash at a post-game party and Haley realizes that Rachel is plotting to seduce Nathan. Meanwhile, Peyton connects with her half-brother, Rachel reveals that she knows who is pregnant and Skills takes the court with the Ravens basketball team.","868445","41"
"Can't Stop This Thing We've Started","4","4","8.101234567891","342","18 Oct. 2006","Peyton introduces hip-hop sensation Lupe Fiasco at Tric, while rumors that Brooke is pregnant run rampant. Still dealing with their car accident, Nathan buys a motorcycle despite Haley's reservations, and Rachel poses for Maxim magazine. Meanwhile, Lucas clashes with Derek, and Deb double-crosses Karen.","868444","60"
"I Love You But I've Chosen Darkness","4","5","8.701234567891","417","25 Oct. 2006","Peyton finally realizes that her brother Derek isn't her real brother but in fact the very same person that's been sending her online messages using the alias ""watchmewatchyou"". When she learns this and starts pushing him away, Derek breaks into her house and tries to hurt her. She is saved in the last minute by her real brother Derek and Lucas. In the end, Derek disappears after surviving a bad fall through Peyton's window.","877243","60"
"Where Did You Sleep Last Night?","4","6","8.001234567891","337","8 Nov. 2006","Nathan and Haley's financial struggles force Nathan to approach Dan for help. In spite of his heart condition, Lucas decides to rejoin the Ravens, teaming him with Skills. Feeling isolated and alone, Peyton finds comfort from an unlikely source, while Brooke begins dating again, but discovers that her new boyfriend is not all that he seems to be. Mouth receives an unexpected proposal, and an old acquaintance of Dan's, Daunte, shows a sudden interest in Nathan.","890863","60"
"All These Things That I've Done","4","7","8.001234567891","341","15 Nov. 2006","Brooke has her hands full with her model for the T.A.R.T. fashion show and a new boyfriend. Rachel makes the cover of ""Maxim,"" causing chaos at Tree Hill High. Meanwhile, Lucas learns of Nathan's dealings with Daunte, and ultimately has to choose between Nathan and his love for basketball. Haley takes on a babysitting job only to find herself in over her head and Peyton's half-brother, Derek, forces her to confront her deepest fears.","890815","43"
"Nothing Left to Say But Goodbye","4","8","8.401234567891","355","22 Nov. 2006","Derek convinces Peyton to take a chance with Lucas at the same time that Brooke approaches him about getting back together. Daunte's latest demand leads Nathan to seek help from an unlikely source - Dan. When Rachel learns of a failing grade, she turns to Haley for tutoring. Nathan is named MVP of the Ravens at the annual sports banquet.","897952","60"
"Some You Give Away","4","9","9.601234567891","816","29 Nov. 2006","As Whitey's last game approaches, the residents of Tree Hill feel the pressure of a looming State Championship. Peyton reveals to Lucas that she has feelings for him. Haley learns the sex of her baby. Nathan and Lucas clash over personal and team goals. Karen shows Deb tough love, while Dan tries to strike a bargain with Daunte.","903486","43"
"Songs to Love and Die By","4","10","8.901234567891","468","6 Dec. 2006","Lucas receives an unlikely visitor -- his supposedly dead Uncle Keith. Haley's life and the life of her unborn child are threatened when she experiences serious complications with her pregnancy and Nathan wrestles with the guilt and consequences of his dealings with Daunte.","906116","42"
"Everything in Its Right Place","4","11","8.101234567891","344","17 Jan. 2007","Following his heart attack, Lucas returns to school, hoping to rekindle his romance with Peyton. Haley learns that Nathan was responsible for her accident. Brooke and Rachel hatch a plan to steal the next calculus exam, while Dan faces murder charges and Deb breaks out of rehab.","913767","41"
"Resolve","4","12","8.301234567891","364","24 Jan. 2007","With senior prom only weeks away, Haley's frustration over her injuries increases and Skills and Mouth hatch a plan to help Nathan earn money for the big dance by stripping. Brooke betrays Rachel in order to get closer to a new guy and Peyton and Lucas resolve to be happy. Struggling with her drug addiction, Deb makes a choice that could end her life.","933552","43"
"Pictures of You","4","13","9.301234567891","645","7 Feb. 2007","A class assignment reveals the deepest secrets and desires of Lucas and the students at Tree Hill High. Worried about college prospects, Skills turns to Haley, while Nathan wrestles with Deb's suicide attempt. Chase learns that Brooke cheated on her calculus exam, while nudity and drugs run rampant in the halls of the school.","933551","43"
"Sad Songs for Dirty Lovers","4","14","8.601234567891","366","14 Feb. 2007","Haley confronts Brooke regarding the stolen calculus test. Lucas and Peyton consider taking their relationship to the next level as Peyton and Brooke grow closer. In Deb's absence, Nathan throws a senior party at the Scott House, where a sex tape from Nathan's past surfaces.","933553","42"
"Prom Night at Hater High","4","15","8.801234567891","408","21 Feb. 2007","On the day of Prom, the residue of Nathan's pre-Prom party has serious repercussions for everyone in Tree Hill. Haley asks Nathan for a list of his past sexual conquests. Rachel is suspended after taking the blame for the exam she stole with Brooke. Peyton tells Lucas she wants to skip the Prom entirely, but he refuses to take no for an answer. Finally Mouth and Brooke must deal with dating Clean Teens on Prom night.","951019","42"
"You Call It Madness, But I Call It Love","4","16","9.001234567891","453","2 May 2007","It will be an unforgettable Prom at Tree Hill High when Lucas discovers who was in the hallway when Keith was killed. Meanwhile, Peyton's decision to skip Prom leads to dire consequences. Nathan and Haley vow to be romantic teenagers at Prom, while Dan tries to win Karen's affections, as the witness to his murder closes in.","967043","42"
"It Gets Worse at Night","4","17","8.601234567891","368","9 May 2007","Skills finds Lucas sleeping besides Peyton and Brooke who made up and felt scared alone after fighting fake Derek. When they get a message from Mouth he's in trouble, they all decide to go together as a road-trip, and drive on taking turns. After sleeping in a small-town park, 'vagrant' Mouth is in jail, where a giant biker type who recognizes him from Brooke's fashion show protects him, till he makes friends with all jailbirds. On the back-road they took in Texas to see the Elvis-shaped sandwich, their car breaks down and Chris Keller's tour-bus driving by stops and ...","990179","43"
"The Runaway Found","4","18","8.401234567891","366","16 May 2007","Peyton is scared by images of ""Psycho Derek,"" so she decides to confront him. Meanwhile, Lucas continues seeking answers about his Uncle Keith's Murder.","968592","60"
"Ashes of Dreams You Let Die","4","19","8.601234567891","360","30 May 2007","Nathan and Haley grow closer in spite of the recent scandal. Brooke wonders if a spark might be rekindled with Chase. Peyton receives a tempting offer that would ultimately take her away from Tree Hill. Mouth reconnects with Gigi, while Lucas tells Karen that Dan is a murderer, setting off an explosive series of events.","982407","60"
"The Birth and Death of the Day","4","20","8.801234567891","398","6 Jun. 2007","As graduation day dawns in Tree Hill, some dreams begin as others end. Haley prepares for her graduation speech and her role as a young mother, while Nathan prepares for life without basketball. Brooke makes a heartfelt confession that puts her future in jeopardy. Lucas confronts Dan as Karen's life is threatened.","982408","60"
"All of a Sudden I Miss Everyone","4","21","9.301234567891","685","13 Jun. 2007","Haley gives birth to Nathan's son: James 'Jamie' Lucas Scott. After Karen nearly dies having her and Keith's daughter Lily, Dan confesses Keith's murder and goes to prison. Two weeks later, Deb babysits when Rachel hosts a nostalgic graduation class exit party. Chase and Lucas insist Brooke and Peyton try their career opportunities before returning to them. The Scott brothers gather the courage to visit dad, Dan, in jail, then decide against it, while he fails trying to hang himself. Lucas accepts becoming Jamie's godfather and Coach Whitey's college assistant.","982409","43"
"4 Years, 6 Months, 2 Days","5","1","8.801234567891","524","8 Jan. 2008","As promised, Lucas, Brooke, Nathan, Haley, Peyton and their Tree Hill gang meet up after 4 years of being apart. Haley and Nathan still live in Tree Hill with their now 4 year-old son, James Lucas Scott. Nathan's dreams of being a NBA star were smashed. Peyton has just quit her job in the record industry. Brooke is living in New York. Her multi-million dollar clothing line, Clothes Over Bros, has given her a successful career in fashion design. Lucas comes back Tree Hill with his new girlfriend, Lindsay, suffering writer's block. The group rekindles to see how much ...","1032101","60"
"Racing Like a Pro","5","2","8.201234567891","361","8 Jan. 2008","Everyone is settled in as they come back to Tree Hill. Its the day of Jamie's box car race. Haley tries to make Nathan go to the event. While, Brooke gets frustrated, as she rekindles with Lucas, tangles over Jamie's race car outfit, and struggles on the fact of what kind of lifestyle she wants. Peyton starts a friendship with a girl who lives in her old home, and moves in with Brooke. Lucas and his girlfriend Linsday, also come to the fact that 2 of his ex's from his past, are back into town.","1032106","47"
"My Way Home Is Through You","5","3","8.201234567891","320","15 Jan. 2008","Haley tries to encourage a student, who is a troublemaker, to join the Ravens. Nathan goes and vists Dan in prison, without Lucas aware. Brooke is edgy after her manager, tracks her down in Tree Hill. Peyton finds new talent for the reopening of Tric, with the help of Haley. Lucas lets Peyton be the manager of Tric. Linsday, Lucas's girlfriend is worried after meeting Brooke and Peyton.","1032107","40"
"Its Alright Ma (I'm Only Bleeding)","5","4","8.001234567891","315","22 Jan. 2008","Brooke buys Karens Cafe, and turns it into a Clothes Over Bro's boutique. Everyone goes to the opening of the store, including Brooke's Manager mother, who has seemed to track her down. Lucas and Peyton cause friction at the opening.","1032108","42"
"I Forgot to Remember to Forget","5","5","8.701234567891","344","29 Jan. 2008","In a flashback of three years into the past, an event between Lucas and Peyton changes their relationship forever. Brooke has to decide about the fate of her fashion line since Victoria is putting pressure on her. Whitey has doubts about Nathan as he has a sudden temper problem before a championship game because of Haley who is trying to find the balance between her school and motherhood.","1032109","43"
"Don't Dream It's Over","5","6","8.101234567891","312","5 Feb. 2008","Nurse Carrie isn't just an ideal playmate for Jamie, who has nightmares since Skillz told him too much about Dan. Her charms should make Haley jealous, but she doesn't realize yet that Carrie really lusts for the hunky husband. Mouth is deputized by the night-shift to ask for better working conditions from their boss Alice; he actually may earn a TV reporter spot as her ""play thing"". Peyton clashes instantly with Brooke's bossy mother, Victoria, who scares her new label's only star, Mia, and calls Brooke too dumb to run the fashion business herself. Lucas considers ...","1032110","43"
"In da Club","5","7","8.301234567891","329","12 Feb. 2008","It's a Tree Hill reunion as the entire gang gathers at Tric to see musical group The Honorary Title perform. Victoria turns up at the club which infuriates Brooke. Meanwhile, Brooke sets up her assistant Millicent with Mouth but Alice ruins the set-up for him by threatening to have him fired if he kisses Millicent. Peyton arranges for Mia to sing at Tric and Lucas proposes to Lindsay which stuns Peyton.","1032111","49"
"Please, Please, Please Let Me Get What I Want","5","8","8.201234567891","314","19 Feb. 2008","Lucas proposes to Lindsey and Peyton is the first one to know the news. Haley is upset at Lucas and Peyton for witnessing their kiss before he proposed to Lindsey. Next day Lindsey shows her ring to Haley and Brooke. Mouth finds out that Alice has been fired for sleeping with an unnamed employee and continues to pursue Millicent and finally wins her over when they watch a televised ballet recital. Carrie continues in the pursuit of Nathan and Brooke is intrigued by Owen and wants to get to know him better but cannot understand why he doesn't respond to the instant ...","1032112","48"
"For Tonight You're Only Here to Know","5","9","8.701234567891","357","26 Feb. 2008","It's the first game of the season and it's Mouth's big chance to impress with his coverage of the game. Meanwhile, Haley, Brooke, Peyton, Lindsey and Mia get locked in the Tree Hill High library and a lot gets said particularly between Lindsey and Peyton. Elsewhere, Nathan and Lucas endeavor to tell both Haley and Lindsey about their indiscretions.","1032113","42"
"Running to Stand Still","5","10","8.101234567891","345","4 Mar. 2008","Brooke invites Tric bartender Owen to come and see her business in New York but finds model Rachel, a friend from her past, in her apartment having taken an overdose. With Owen's help they manage to persuade her to enter a treatment program. Nathan and Lucas attend Dan's parole hearing while they try to protect Jamie from him. Mia gets an offer from Peyton's former employer. Elsewhere, Haley and Nathan's marriage is on the rocks as Carrie does her damnedest to split them up leading. Jamie falls into the pool.","1032102","42"
"You're Gonna Need Someone on Your Side","5","11","8.401234567891","333","11 Mar. 2008","Missing Nathan gives Jamie nightmares about Dan, who is indeed paroled. Lucas and Lindsay decide to 'coincidentally' have separate stag and hen nights at the same place, so Nathan and Haley are bound to meet. Brooke arranges a hot blind date for Peyton, but the joke is on her as Owen's chosen mate is Chase, Brooke's former 'clean teen' lover. Jamie's tireless efforts to get his mom and dad to make up In turn make Haley realize she shouldn't have tried to change Nathan. Ruthless business adviser and absent mother Victoria pushes Rachel out, to Brooke's disgust.","1032103","40"
"Hundred","5","12","9.201234567891","455","18 Mar. 2008","Lindsay's big day, the wedding to Lucas, has finally arrived. The old gang reunites, remembering their own loves and/or marriages, even Karen and Andy from New Zealand. Haley still isn't ready to let Nathan back. At the altar Lindsay finally realizes the Comet in Lucas' book refers to Peyton's car and their first love, and runs out. Crazy Carrie kidnaps Jamie, pretending she was rehired as his nanny. Because Haley saw Dan and refused him entry, Nathan sends the police look for his dad. In fact Dan followed Carrie and finds his grandson.","1032104","43"
"Echoes, Silence, Patience and Grace","5","13","8.201234567891","382","14 Apr. 2008","Brooke is visited by an adoption agency and has an interview to find out if she would be a suitable mother. Lucas flies out to see Lindsey who says she will edit his novel. Dan gets Jamie back and bonds with him at School. Nathan and Haley have a good counseling session and decide to take up their hobbies of basketball and music again. Peyton is visited by Max and still has feelings for Lucas.","1032105","43"
"What Do You Go Home To?","5","14","8.101234567891","281","21 Apr. 2008","The marriage counselor's advice to reconnect with personal aspirations is followed to the letter. Haley is happy to re-enter the music field; Peyton is to sign her up for a record. Haley can't find an appropriate nanny, apart from Nathan's mother Deb. Nathan's come-back in basketball is harder to get going as the team's stupid star Q is rude and hostile. Only Jamie get's on with Dan, the brothers warn him to keep his distance. Brooke is ecstatic to be 'getting a baby', so she stocks up on toys etc.","1208415","42"
"Life Is Short","5","15","8.101234567891","291","28 Apr. 2008","It's Jamie's fifth birthday, and a grand event for the gang. Lucas hoped Lindsey, who also attends, will go back to him, but she insists on leaving her key as she leaves for New York. Although he was the one one Jamie explicitly asked to be invited, Dan isn't even allowed to hand over his personal present. However he has another for Nathan, and a heavy reason to give it. Meanwhile Brooke learns the parenting joy can drown in rivers of tears and noise, and Millicent's entry in the boys flat proves hard to adjust to.","1218867","43"
"Cryin' Won't Help You Now","5","16","8.201234567891","280","5 May 2008","Lucas confronts Dan's announcement about his life expectancy of only 6 months without a heart transplant. He calls Dan a liar until the cardiologist confirms it. Nathan wrestles with his feelings, and Jamie's burning desire to get acquainted with his 'cool' grandfather, while Dan begs for a last chance to repair his shattered family. Nathan and Jamie come up with a daring alternative for the injured Ravens. Mouth suddenly gets a triple break as sports presenter.","1207398","43"
"Hate Is Safer Than Love","5","17","8.401234567891","340","12 May 2008","Dan finds out he is second in line to receive a heart...and the Reverend is first. Peyton gives Mia the details of her next tour. Lucas tells Peyton he hates her.","1211192","43"
"What Comes After the Blues","5","18","8.901234567891","404","19 May 2008","Brooke has to deal with giving up her baby Angie. Haley's career takes a turn for the better and Peyton is visited by somebody from her past. Meanwhile, Dan awaits a new heart as Lucas makes a decision on who he wants to be with. Elsewhere Mouth makes the decision to move to Omaha when Millicent agrees to go with him.","1211193","48"
"Touch Me I'm Going to Scream: Part I","6","1","8.701234567891","448","1 Sep. 2008","Nathan and Haley are doing well getting back into their careers, but even Jamie's motivational magic can't stop daddy's back from hurting. Lucas finally makes up his mind and proposes to Peyton - a Vegas wedding, an idea which requires romantic rectification. Dan has finally made it to the top of the transplant list, only to be hit by a car. It's no accident, but crazy nurse Carrie who planned to torture him and get Jamie 'back'. Brooke's mother vows to turn the tables by making the board reinstate her and fire Brooke, so her baby design line is vital and top-secret. ...","1261628","43"
"One Million Billionth of a Millisecond on a Sunday Morning","6","2","8.501234567891","348","8 Sep. 2008","Nathan enjoys preparing for a basketball comeback. When Haley discovers how much painkillers he needs they consult a doctor, who warns that overdoing it may even land him in a wheelchair for life. Crazy Carrie's torture now extends to feeding bugs to Dan and setting him up as Jamie's 'stalker' before her planned kidnapping. Deb sees that Brooke has been beaten black and blue and robbed, probably on ma's orders as the sketches are stolen, but is asked to keep silent- and teach her to use a gun. Someone else does, with lasting consequences.","1263997","43"
"Get Cape. Wear Cape. Fly.","6","3","9.101234567891","511","15 Sep. 2008","The shooting of Ravens player Quentin 'Q' is the talk of the town. All One Tree Hill tries to come to terms with such blind violence. Nathan and Haley do a great job guiding young son Jamie as well as the team - and school mates. Meanwhile Dan finally gets a chance to make a 'run' from the intended death bed Jamie's would-be kidnapper-'mother' Carrie tied him down on.","1263996","43"
"Bridge Over Troubled Water","6","4","8.101234567891","304","22 Sep. 2008","Knowing about his mother's affair with Skills, Nathan tells her to leave, but finds Jamie and his granny miss each-other. Of all people she happens to tell crazy Carrie. Jamie's insistence to visit grandpa Dan brings Haley to discover his disappearance and investigates. Brooke seeks counseling now that her mother has stolen her fashion company, then goes to confront her, armed. The shoplifter is in Haley's class. Peyton is delighted to work and spend time with singer Mick Wolf, who also knew her late mother and biological father.","1263995","43"
"You've Dug Your Own Grave, Now Lie in It","6","5","8.401234567891","318","29 Sep. 2008","Nathan thinks it's a godsend to be invited for a job interview by manager Bobby Irons of the NBA D-league team Fort Wayne, until he hears it's for a coaching job. Haley finally grants Jamie a last chance to say dying grandpa Dan goodbye, but it's a dangerous set-up by crazy nanny Carrie, which only lush granny-nanny Debby works out. An incompatible date in a promotion tour for his book forces Lucas to tell Lindsay he's about to marry Peyton.","1274162","43"
"Choosing My Own Way of Life","6","6","8.101234567891","296","13 Oct. 2008","Lucas is joined by a familiar face on his book tour; Nathan questions his health when he is given an opportunity to play basketball again.","1274161","43"
"Messin' with the Kid","6","7","8.401234567891","313","20 Oct. 2008","Nathan is happy again now that he's playing and actually staring in slamball. So he reminds Haley that she's also supposed to have another go at her dream career - music. Jamie is bullied because of his 'childish' cape by Chuck Scolnik, the biggest kid in his playground. Haley's attempt to reason with his mother only leads to a cat-fight. Superdad finds a way to convince the whole class capes are almost as super-cool as he. Peyton's moving into Lucas' parental home starts confrontations when accused of taking over his space, leading to a weird divided house war. Mouth...","1280369","60"
"Our Life Is Not a Movie or Maybe","6","8","8.201234567891","290","27 Oct. 2008","Nathan's back is well enough to shoot hoops on the slamball trampoline, but during matches bruises pile up more spectacularly than Haley can bear to watch. Luckily mountain-size Owen obliges Brooke's 'order' to act as a human shield. Nathan gratefully smooths over his relationship with the fiery ex. They're just in time to help pick up the pieces -little more is left- after Sam, who joined the club of volunteer babysitters for irresistible Jamie, sneaks out with the angelic rascal to a wild party. Lucas is surprised his first book is considered for a movie, and signs ...","1280370","43"
"Sympathy for the Devil","6","9","8.101234567891","281","3 Nov. 2008","Jamie and Haley really worry that Nathan might being injured at Slam Ball, although he scores well and Owen protects him even against the most feared adversaries. Brooke is so stressed out by Sam's misbehavior that Owen's efforts to win her back, exposing himself only to get overexposed cruelly, seem wasted. Lucas agonizes over whether and how to write the key script scene Julian demands, Keith's death. Peyton puts off telling him about her LA affair too long.","1280371","43"
"Even Fairy Tale Characters Would Be Jealous","6","10","8.101234567891","304","10 Nov. 2008","Nathan wrestles with his former self as to whether to give up basketball to be a family-man only or pursue his dream, as he encourages Haley to do at a USO concert for Marines. Lucas punches Julian in the face but must reconsidering collaborating on the movie he already sold the rights to. Monogamous virgin Millicent is made absurdly jealous by teaser Gigi.","1280365","60"
"We Three (My Echo, My Shadow and Me)","6","11","6.701234567891","450","17 Nov. 2008","Dozing off, Lucas dreams the whole gang are adults in the 1940s. He runs Karen's Café, a classy swing club. Nate, his barman, gathers the courage to declare his love to Haley, the star singer - but is called for active war duty. Mob don Dan run the competing Comet club, but Peyton, his naive girl, flirts with cool Lucas. Dan's right hand Julian breaks Lucas' piano player's hands. Officer Morello suffers Dan's wrath for being an honest cop, with Mouth as a nosy reporter.","1280366","43"
"You Have to Be Joking (Autopsy of the Devil's Brain)","6","12","8.601234567891","338","24 Nov. 2008","Thanks to Bobby Irons, Nathan gets a professional audition at Maryland. He changes position to point guard, ideal to prove a smart, driven 'shortie' can outclass cocky poles. Returning to collaboration on the movie after his book with Julian, Lucas flies to L.A. to meet hot-shot director Dixon, who wants to make the plot more dramatic. Jamie hesitates whether to play piano or tell jokes at the school podium, but finds a brilliant solution. Julian offers Brooke the chance to design the movie's wardrobe. Brooke and Gigi make Owen and Millicent despair enough to fall ...","1280367","60"
