season_number,episode_number,air_date,name,overview,id,runtime
0,1,,Unaired Pilot,"The Unaired Pilot takes place in the past. It tells the story of Karen and Dan and how she got pregnant. Then, after Dan marries Deb it goes into the future further where Lucas has his first day at Tree Hill High. He meets mouth and others and realizes that maybe basketball is for him. That is until him and Nathan get into a fight about Dan. This is where it all begins.",14577,42
0,2,,Building a Winning Team,"The making of ""One Tree Hill"".  Behind-The-Scenes

Cast/Crew Retrospective",14576,18
0,3,2012-04-04,Always & Forever,Interview with the stars as they share their memorable moments from the series.,14579,42
1,1,2003-09-23,Pilot,"""Pilot"" is the first episode of One Tree Hill's first season. It first aired on The WB television network in the United States on September 23, 2003. It was written by Mark Schwahn and directed by Bryan Gordon. It saw John Keenan and Melissa Claire Egan guest star as Officer Wayman and Melody, respectively. It introduces the character of Lucas Scott — a high school student — and his friends and relatives in the fictional Tree Hill, North Carolina.",14392,42
1,2,2003-09-30,The Places You Have Come To Fear The Most,"Lucas blows his first Varsity game and decides to quit the team. The wedge between Nathan and Peyton continues to grow after Peyton tires of Nathan's jabs at Lucas. Meanwhile, Keith forces Karen to deal with her feelings for Dan after she refuses to step foot in the high school gym to support her son.",14393,42
1,3,2003-10-07,Are You True?,"Frustrated by Lucas' growing popularity at school, Nathan searches for Lucas' weak spot, and finds it in Haley. Meanwhile, Peyton is furious with Lucas for submitting her drawings to the local newspaper without her knowledge.",14394,42
1,4,2003-10-14,Crash Into You,"Haley convinces Lucas to go with the team to an after-party at Nathan's beach house in the hopes that the guys will become closer. When Lucas sees the wealth that was denied him, he finally confronts his mother about why she let Dan ignore them. Meanwhile, when Nathan's mom returns home to find a very angry son, she turns to Karen for advice.",14390,42
1,5,2003-10-21,All That You Can't Leave Behind,"Lucas asks Keith to play with him in the annual ""Father and Son"" basketball game, and realizes he got the better father figure after Dan publicly humiliates Nathan on the court. Also, Peyton has a hard time dealing with the anniversary of her mother's death and finds a comforting ally in Whitey.",14398,42
1,6,2003-10-28,Every Night Is Another Story,"When Whitey throws Lucas and Nathan off the bus due to their misconduct on the basketball court, not only does it leave the two brothers stranded 30 miles from home, but they encounter a carload of punks who threaten them with a gun. Injured during the game, Brooke needs Peyton to drive her home and in, an unlikely turn of events, Peyton asks Haley for help. Meanwhile, Karen and Keith attend a business function and tempers flare when Dan and Deb are seated at their table.",14396,40
1,7,2003-11-04,Life in a Glass House,"On the night of Dan and Deb's annual basketball appreciation party stirs up old wounds and new feelings as Karen makes a new friend, Keith faces off with his younger brother once again and Lucas finally makes his move on Peyton. Also, Haley and Nathan grow closer until Brooke spreads a vicious rumor that leaves Haley devastated.",14397,41
1,8,2003-11-11,The Search For Something More,"Looking for some fun, Brooke and Peyton crash a college party, but things turn ugly when one of the guys in the dorm, Gabe drugs Peyton. After Brooke calls Lucas for help, the two bond over caring for a sleeping Peyton, prompting Lucas to look at Brooke in a new light. Meanwhile, Haley gives Nathan another chance and the two go on their first date.",14395,42
1,9,2003-11-18,With Arms Outstretched,"After fighting with his father and Haley, Nathan succumbs to the pressure he is feeling and takes amphetamines to help his game. However, he isn't prepared for the destruction the drugs do to both his body and his family. Meanwhile, Peyton goes to Lucas to rekindle their relationship, but when she arrives at his house, she catches him with Brooke.",14400,39
1,10,2004-01-20,You Gotta Go There To Come Back,"After Whitey cancels basketball practice, Brooke convinces Lucas to let loose and takes him out for a wild night out on the town. Meanwhile, Deb instructs Dan to take Nathan away for a father-son weekend to try and rebuild their relationship, but things don't go exactly as she had hoped.",14399,42
1,11,2004-01-27,The Living Years,"Unable to handle the pressure from Dan, Nathan decides to quit the basketball team and looks to Haley to help him fill his free time. Meanwhile, Brooke becomes increasingly jealous of Lucas and Peyton's growing friendship.",14401,41
1,12,2004-02-03,Crash Course In Polite Conversations,"After Peyton receives the devastating news that her father is lost at sea, she and Lucas take an overnight trip to Hilton Head to identify a body that has washed ashore. Overcome with emotion, Peyton kisses Lucas. Meanwhile, an unexpected visit from Dan's parents leaves the Scott family in turmoil as numerous family secrets are revealed at Dan's birthday dinner.",14402,40
1,13,2004-02-10,Hanging By A Moment,"Aside from a love for hoops, it would seem that Lucas and Nathan are two young men with little in common, but they are bound by the dark secret that they share the same father. Nathan is the star of the high school basketball team and local town hero, while Lucas is the only child of a single working mom. Now the two boys' lives collide when a twist of fate puts Lucas on Nathan's team and the half-brothers compete, not only for control of the court, but also for the heart of Nathan's beautiful girlfriend Peyton.",14410,39
1,14,2004-02-17,I Shall Believe,"While holding a vigil at Lucas' bedside as he lays in a coma, Karen meets her son's new girlfriend and learns from Deb that she is divorcing Dan. Most shocking of all, Karen is horrified to discover that Keith was drinking while driving at the time of the accident. Meanwhile, Nathan tries to win Haley back after she dumps him.",14405,42
1,15,2004-02-24,Suddenly Everything Has Changed,"After his near-death experience, Lucas decides he made the wrong choice between Brooke and Peyton so he breaks things off with Brooke and secretly rekindles his romance with Peyton. However, the truth becomes obvious after he is rushed to the emergency room again and the girls come face to face in the hospital. Meanwhile, unable to pay his mortgage after paying Lucas' hospital bill, Keith puts his garage up for sale.",14389,40
1,16,2004-03-02,The First Cut is the Deepest,"Nathan must decide which parent to live with after the divorce, but Dan decides to force his hand by threatening to reveal Deb's darkest secrets in court unless Nathan chooses him. Meanwhile, Lucas meets a beautiful stranger who starts his head spinning.",14406,41
1,17,2004-04-06,Spirit In The Night,"The gang hits the road to Charlotte where Brooke is determined to win first place at the annual cheerleading competition, but when one of her squad falls ill, Peyton begs Haley to step into the cheerleader's shoes for a day. Meanwhile, after Whitey assigns Lucas and Nathan  to the same room, tempers flare and Haley is caught in the middle.",14403,41
1,18,2004-04-13,To Wish Impossible Things,"Lucas, Nathan and Jake are auctioned off to the highest bidder in the annual ""Boy Toy"" charity auction and the night leads to surprising developments with old flames. Meanwhile, having missed out on the auction, Brooke ends up with Mouth and gives him the night of his life.",14404,42
1,19,2004-04-20,How Can You Be Sure?,Lucas must make a difficult decision regarding Brooke. Haley considers having sex with Nathan.,14407,40
1,20,2004-04-27,What Is and What Should Never Be,"While Nathan looks for an after-school job to pay his rent, Haley decides to throw a party at his apartment but panics when things get out of control. After a jilted Brooke realizes she was not invited to the festivities, she decides to crash the party with her new friend Nicki.",14408,41
1,21,2004-05-04,The Leaving Song,"Lucas is shocked to learn that Dan once asked Karen for joint custody of Lucas when he was a baby. Meanwhile, Peyton panics after Nicki kidnaps Jake’s baby while she is babysitting.",14391,40
1,22,2004-05-11,The Games That Play Us,"Lucas and Nathan bear the brunt of Dan's abuse as he coaches them into the playoffs, pushing both of them to their breaking points. Haley is stunned after Dan threatens her, causing her to reconsider her relationship with Nathan. Meanwhile, Whitey learns that his medical condition may be more serious than he first expected, and Dan learns a shocking secret from Deb.",14409,42
2,1,2004-09-21,The Desperate Kingdom of Love,"After Lucas and Keith learn that Dan had a heart attack and is still in the hospital, they decide it is best for them to return to Tree Hill. When Deb learns about Haley and Nathan's marriage, she grows hostile. Meanwhile, angry that Lucas left Tree Hill without saying goodbye, Peyton and Brooke try to mend their friendship.",14411,42
2,2,2004-09-28,The Truth Doesn't Make A Noise,"With the assistance of Peyton and Brooke, Lucas throws Nathan and Haley a wedding reception. Although Haley's parents support the marriage, Deb has a difficult time accepting it. Meanwhile, Dan's recent heart attack causes him to try and mend his relationships with Deb and Lucas.",14413,42
2,3,2004-10-05,Near Wild Heaven,"Although Nathan and Haley are already married, Tim insists on throwing Nathan a post-wedding bachelor party, while Brooke throws Haley a bachelorette party. Meanwhile, Lucas tries to decide whether he should visit Dan in the hospital. Karen decides to go back to school. Nathan gets a job working for Keith at Dan's dealership.",14412,40
2,4,2004-10-12,You Can't Always Get What You Want,Brooke's new neighbor quickly makes his presence felt among the Tree Hill gang and even comes to Brooke's rescue when she is caught shoplifting. Nathan and Haley have their first post-wedding argument when he buys her a gift rather than a much-needed car. Lucas' attempt to help Dan with rehab ends in disaster when Dan reverts to his old ways. Peyton tries to organize an all-ages club and is tempted to try cocaine to seal the deal.,14414,42
2,5,2004-10-19,I Will Dare,"Felix organizes a ""dare night"" to test the limits of his new classmates. While out playing the game, Lucas meets a mysterious new girl, Anna, and the two of them seem to hit it off. Peyton tearfully confesses to the church that she recently tried cocaine and Keith is caught off guard when a beautiful woman comes to the shop and begins flirting with him. Meanwhile, Karen goes on a date with Andy, her younger professor.",14415,41
2,6,2004-10-26,We Might As Well Be Strangers,"After Dare Night resulted in new arrangements, a midnight meteor shower finds Lucas sharing a romantic night with Anna. Andy surprises Karen with a dinner and Keith cooks for Jules on their first date. Brooke finds herself forming a mutually beneficial relationship with Felix, and Peyton sets out to find an opening act for her club.",14416,41
2,7,2004-11-02,Let the Reigns Go Loose,"The opening of Karen's club ""Tric"" brings together the people of Tree Hill. Lucas and Felix come to blows over Anna. After Chris quits his gig the night of the club opening, Haley must face her fear of performing to save the night for Peyton. Although Mouth tends to Brooke while she is drunk, Felix sneaks in and attempts to take the credit. Keith and Jules realize their relationship has reached a new level, while Dan deliberately tells Karen that Deb slept with Keith.",14417,41
2,8,2004-11-09,"Truth, Bitter Truth","The girls of Tree Hill have a slumber party, at which time secrets are revealed and bonds are made. Meanwhile, Nathan and Lucas road trip to Charlotte for a basketball game, and unknowingly to Lucas, they embark upon free HCM tests, a genetic heart condition that Dan maintains. Karen and Andy have a row.",14421,41
2,9,2004-11-16,The Trick Is To Keep Breathing,"Lucas takes Anna to the formal night but by the end of the night ends up with Brooke. After spending time with Chris, Haley arrives late to the formal which angers Nathan. Meanwhile, Peyton struggles with pressure to do drugs.",14419,41
2,10,2004-11-30,Don't Take Me for Granted,"Nathan is concerned about Lucas' health, so he tells Karen that Lucas didn't take the heart test. Dan offers Keith to continue working at the dealership-as vice president. At school, Peyton must confront the rumors going around that she is a lesbian. This affects her friendship with Anna. As for Nathan and Haley, they begin to grow apart...",14418,42
2,11,2005-01-25,The Heart Brings You Back,"Haley is surprised when her older sister Taylor comes to town, but not as shocked as Nathan, who recognizes Taylor from a past tryst. Brooke and Felix decide to become boyfriend and girlfriend. Jake makes a special visit to Peyton. Anna tells a secret to Lucas.",14420,41
2,12,2005-02-01,Between Order and Randomness,"Nathan comes clean with Haley about his past relationship with Taylor, although Haley continues to email Chris without telling Nathan and Taylor finds out. Lucas and Karen remain at odds over his refusal to take the HCM test. Keith proposes to Jules. Meanwhile, Brooke fights for better working conditions at her new job. Lucas decides to take the HCM test.",14424,41
2,13,2005-02-08,The Hero Dies In This One,"When Michelle Branch & Jessica Harp from the band ""The Wreckers"" perform at TRIC, Haley realizes her passion is to pursue her music career. Meanwhile, Lucas decides to move in with Dan, straining his relationships with both Karen and Nathan. Brooke runs for student council president, but quickly realizes she is taking on more than she bargained for. Peyton and Jake's friendship grows stronger. Brooke finds out that Mouth broke her car window. Lucas gets his HCM results and aren't what they turn out to be.",14422,41
2,14,2005-02-15,Quiet Things That No One Ever Knows,"As his marriage  with Haley continues to go wrong, Nathan goes into a emotional crisis and becomes the ""bad"" Nathan of the past. Karen continues to struggle and try to figure out what would cause Lucas to move in with Dan. Peyton and Jake's relationship gets greater.",14423,41
2,15,2005-02-22,Unopened Letter to the World,"When Tree Hill High does a time capsule project, the gang confesses their most intimate secrets to an anonymous video camera. Nathan's anger over Haley's absence continues to grow, landing both Lucas and Nathan in jail. Peyton and Jake's feelings for each other heat up, while Felix throws Brooke a party to celebrate her new gig as student body president. Meanwhile, when brought to court, Lucas opts to live with Dan and Deb rather than Karen.",14426,42
2,16,2005-03-01,Somewhere A Clock is Ticking,"Keith and Jules' wedding day, and the event has turned the town upside down. Brooke asks Lucas to take her to the wedding as his date, Nathan makes an important decision involving his marriage to Haley, and Jake and Peyton take a big step in their relationship. Meanwhile, Karen and Andy discover Jules' secret relationship with Dan.",14427,41
2,17,2005-04-19,Something I Can Never Have,"Keith gets violent with Dan after learning that Dan paid Jules to fall in love with Keith. Anna turns Felix in to the school authorities after learning that he was the one who vandalized Peyton's locker. Lucas and Brooke discuss Brooke's possible move. Meanwhile, Nathan chances Haley in the hope of bringing her home. Brooke decides to move in with Karen.",14425,42
2,18,2005-04-26,The Lonesome Road,"On his way home from seeing Haley, Nathan stops to visit Taylor hoping for some fun and maybe more. Meanwhile, Anna gets a surprise visit from her ex-girlfriend and is inspired to tell her parents about her sexuality. Also, Lucas works with Andy to bring Dan down, Karen puts her foot down with Brooke. Peyton and Jake continue to hide baby Jenny from Nicki.",14430,42
2,19,2005-05-03,"I'm Wide Awake, It's Morning","Nathan's Uncle Cooper comes into town to take Nathan and Lucas on a racing trip. On the track, Nathan and Lucas are challenged to a race by the beautiful Daytona and her smart aleck brother Jarret, but things go horribly wrong when Nathan loses control of his car and crashes into a wall. Meanwhile, Deb's  addiction to pain pills intensifies and Dan exposes Andy's relationship with Karen to his class.",14429,42
2,20,2005-05-10,Lifetime Piling Up,"Lying in a coma after his race car accident, Nathan dreams of what life would have been like if Dan had stayed with Karen  and Lucas instead of marrying Deb. In this imaginary world, Lucas would have had the wealth and stature and Nathan would have been the one growing up on the wrong side of the tracks. After waking up, Nathan phones Haley and tells her he doesn't want her to come home.",14428,42
2,21,2005-05-17,What Could Have Been,"Nathan is released from the hospital and returns home to a pile of unpaid bills and an eviction notice. Lucas, Peyton and Brooke throw a fundraiser Tric to raise money, but Dan is the one that comes to Nathan's rescue. However, his gift comes with strings - he wants Nathan to ask Haley for an annulment.",14433,41
2,22,2005-05-24,The Tide That Left and Never Came Back (1),"In the first part of the two hour second season finale, things heat up between Lucas and Brooke after they head to New York for an overnight stay with Haley. Peyton is elated when she gets the band Jimmy Eat World to perform at TRIC in time for Jake's release from jail. Meanwhile, Andy invites Karen to spend the summer in New Zealand.",14432,42
2,23,2005-05-24,The Leavers Dance (2),"In the second part of the this seamless 2-hour Season Finale of ""One Tree Hill,"" things heat up between Lucas and Brooke since he finally tells her what he feels about her. Nathan and Deb conspire to desert Dan for good, leading to an explosive conclusion when he discovers their plan. Peyton has a shock. Meanwhile, Karen decides to spend the summer holiday in New Zealand. And at the climax of Dan's numerous deceptions someone sets the dealership on fire with him in it.",14431,40
3,1,2005-10-05,Like You Like an Arsonist,"In the third season premiere, we finally discover Dan's fate after the fire. Besides the situation with his father, Nathan also has to deal with Haley's reappearance in Tree Hill and the future of their relationship. Meanwhile, Peyton tries to find the truth about the mysterious woman who pretends to be her mother. Also, Lucas looks forward to Brooke's return after a summer apart.",14436,41
3,2,2005-10-12,From the Edge of the Deep Green Sea,"Brooke has an end of the summer party on the beach. As Nathan comes home from basketball camp, Haley tries to tell him how she feels.

Elsewhere Lucas deals with Brooke's rules for dating and Peyton deals with family issues.",14435,41
3,3,2005-10-19,First Day on a Brand New Planet,Nathan asks Haley for a possible divorce. Lucas tells Dan that he saved his life. Peyton finds out something deep about Ellie. Dan tries to drop accusations at several people about the fire. He also tries to get Whitey replaced as Ravens coach.,14434,41
3,4,2005-10-26,An Attempt to Tip the Scales,"It's Halloween in Tree Hill and everybody is celebrating at Tric, with special guest band Fall Out Boy. The masquerade ball gives the opportunity to Haley to win back Nathan while Brooke is trying to seduce Lucas. Also, Peyton decides to face her new mother and get to know her; Dan uses blackmail to become mayor but things don't turn out as easy as he thought they would when Deb gets in his way.",14437,41
3,5,2005-11-02,A Multitude of Casualties,"The Ravens begin basketball practice. New team captain Nathan clashes with Lucas over Haley, and a new cheerleader sets her sights on Lucas. Elsewhere, Dan's mayoral bid takes a surprising turn when an unlikely opponent emerges, Karen.",14455,41
3,6,2005-11-09,Locked Hearts and Hand Grenades,"Brooke makes a ""Fantasy Boy Draft,"" after all of the cheerleaders are fighting over the same guys. Haley and Peyton continue to argue over Nathan. Dan butts heads with Karen because the election is drawing nearer. Lucas is trying to keep up with the fast pace of basketball.",14438,41
3,7,2005-11-16,"Champagne for My Real Friends, Real Pain for My Sham Friends","The fantasy draft dates begin, Lucas finds himself with Rachel and a very familiar setting. Brooke is on a double date with an unusual couple. Mouth and Peyton hang out again. And Peyton regrets the things she says to Ellie. Karen and Deb take the campaigning for mayor, to a new level, to bring down Dan. Nathan gets mad when Chris gets close to Haley.",14441,41
3,8,2005-11-30,The Worst Day Since Yesterday,"As the town readies for the Ravens' first basketball game, Lucas worries that his head and heart aren't in it. Nathan accuses Lucas of being the Ravens' weak link. Peyton and Haley mend fences to support Brooke in a time of need. When the mayoral race tightens, Dan resorts to a smear campaign.",14439,40
3,9,2005-12-07,How a Resurrection Really Feels,"It is revealed that Lucas knows who tried to kill Dan and he confronts the guilty party. Brooke, Peyton and Haley find themselves behind bars. Peyton finds her guilty conscience on the surface. Chris Keller convinces Nathan to be his wingman at a high-stakes poker game. The residents of Tree Hill finally choose a mayor.",14440,41
3,10,2006-01-11,Brave New World,"Lucas and Peyton take a road trip together to find Ellie. While out of town, Lucas reconnects with a friend from his past. Brooke, Haley and Mouth successfully launch the Clothes Over Bro's website, only to find that demand far exceeds supply. Deb reveals to Nathan that she tried to kill Dan.",14443,41
3,11,2006-01-18,Return of the Future,"The Ravens lose their second game in a row, so Whitey teaches them a tough lesson. Peyton and Ellie look for support for their album and hope to attract Nada Surf to the project. Meanwhile, both Dan and Haley upset Nathan, while Brooke plans a romantic thank-you for Lucas.",14442,41
3,12,2006-01-25,I've Got Dreams to Remember,"As the students meet with the school counselor to plan for the future, Nathan and Haley realize they want to attend different colleges across the country from one another and Brooke discovers Rachel's reasons for submitting her designs to Rogue Vogue. Meanwhile, Ellie and Peyton bond as they finish the benefit album.",14445,41
3,13,2006-02-01,The Wind That Blew My Heart Away,"A violent rainstorm knocks out the power in Tree Hill, leading Haley to Nathan's doorstep and Brooke out into the downpour for a dramatic confrontation with Lucas. Peyton finally confronts the truth about Ellie's illness, while Mouth is tempted by his new friend, Rachel. Before morning, secrets are revealed, relationships are tested, and new love gets hotter than ever.",14444,41
3,14,2006-02-08,All Tomorrow's Parties,"Brooke is forced to grow up in a hurry when her trip to a New York City fashion show prevents her from attending an annual cheerleading tournament. Nathan and Lucas are influenced by the father of an old friend. Struggling with her mother's cancer, Peyton joins Rachel for a night of blowing off steam, and Haley and Nathan use their hotel room as the honeymoon suite they never had.",14446,40
3,15,2006-02-15,Just Watch the Fireworks,"When someone unleashes the students' time capsule upon Tree Hill High, Lucas and Mouth must confront a person from their past. Brooke has to deal with the revelation that secrets aren't the only things she exposed in the time capsule. Dan learns to forgive Keith. Haley is forced to reconcile the man Nathan was before with the man he has become, and Peyton's Breast Cancer Benefit Concert at Tric features performances by Haley, Jack's Mannequin and the return of Fall Out Boy.",14448,41
3,16,2006-03-01,"With Tired Eyes, Tired Minds, Tired Souls, We Slept","Due to the aftermath of the release of the time capsule, chaos breaks out. Someone is holding students of Tree Hill hostage with a gun, shooting. While lives hang in the balance, Nathan and Lucas put themselves at risk to protect their friends and loved ones. Young lives are shattered and two lives will end.",14447,41
3,17,2006-03-29,"Who Will Survive, and What Will Be Left of Them","The aftermath of the school shooting and the death of Jimmy Edwards forces everyone in Tree Hill to examine their lives. Nathan reassesses his relationship with Haley, while Brooke and Rachel join forces to heal the student body. Dan must deal with the ramifications of shooting Keith, while Lucas and Peyton consider the implications of their kiss in the library.",14454,40
3,18,2006-04-05,When It Isn't Like It Should Be,"Rachel invites the gang for a weekend getaway at her family's cabin. Craziness will ensue, including a game of  ""I Never"" which will cause characters to do things they normally wouldn't, and a nasty little issue Mouth has been harboring toward Rachel will surface. Meanwhile, Karen will confront Dan about Keith's death. Could she suspect the truth?",14449,40
3,19,2006-04-12,I Slept with Someone in Fall Out Boy and All I Got Was This Stupid Song Written About Me,"Lucas attempts to play in the first game after Keith's death, but cannot bring himself to do it; Nathan and Haley prepare to renew their vows, while Mouth tries to get closer to Rachel; Peyton receives a surprising offer; and Brooke finds a way to get revenge on Rachel.",14450,41
3,20,2006-04-19,Everyday Is a Sunday Evening,"Nathan deals with a player who is a rival both on and off the court. Meanwhile, Brooke and Mouth look to get even with Rachel. Dan has a run-in with Cooper; and Peyton comes to a major decision.",14451,41
3,21,2006-04-26,Over the Hills and Far Away,"Haley argues about her wedding dress with Brooke during the rehearsal dinner. Elsewhere Karen and Lucas arrive back in town.

And Peyton is surprised by what she finds...",14452,41
3,22,2006-05-03,The Show Must Go On,Nathan worries about Haley as they prepare to renew their vows. Peyton and Brooke's friendship becomes strained and Deb confesses to Dan about the fire.,14453,42
4,1,2006-09-27,The Same Deep Water as You,"The residents of Tree Hill must deal with the aftermath of the shocking accident that left everyone without words. In the midst of all the chaos, Dan extends his help to Karen now that she is pregnant, Lucas and Peyton's friendship continues to grow stronger, and once rivals Brooke and Rachel move past their differences and manage to become good friends. Brooke has a difficult decision to make about her relationship with Lucas and Skills decides to try out for the Ravens.",14476,41
4,2,2006-10-04,Things I Forgot at Birth,"It's her eighteenth birthday, but Brooke soon realizes that she has no one but Rachel to celebrate it with. Meanwhile, Nathan continues to struggle with memories of the accident and Dan continues to be haunted by remorse over his actions against Keith.",14456,41
4,3,2006-10-11,Good News for People Who Love Bad News,"Peyton spends more time getting to know her newfound brother, Derek. Meanwhile, Lucas gives up on his love for Brooke and Rachel tries to start a romance with Nathan.",14458,39
4,4,2006-10-18,Can't Stop This Thing We've Started,"Rumor surfaces that Brooke might be pregnant, causing Karen to worry as she fears that the baby might be Lucas'. Meanwhile, Rachel continues to get closer to Nathan when she confesses that she saw Keith during the accident.",14457,41
4,5,2006-10-25,I Love You But I've Chosen Darkness,"Nathan gets two surprises in a row, and everyone is eager to share their advice with him. Deb also shares something she picked up. Brooke decides to celebrate while Peyton is being attacked by her stalker.",14475,41
4,6,2006-11-08,Where Did You Sleep Last Night?,"Nathan struggles with money problems and reluctantly asks Dan for help. Elsewhere Brooke learns the new man in her life is also her new English teacher. Peyton gets help from an unexpected source, and Lucas returns to the Ravens just in time to help the team advance in the playoffs for the state championship.",14459,41
4,7,2006-11-15,All These Things That I've Done,"Peyton returns to school, but she breaks down. In the meantime Nathan is cornered into a no-win situation by Daunte. Brooke's fashions are a hit at the local show. And Deb takes drastic action for her addiction.",14461,41
4,8,2006-11-22,Nothing Left to Say But Goodbye,Derek tells Peyton to give Lucas a chance just as Brooke tries to make up with him. Rachel asks Haley to tutor her when she discovers she is failing a class. And Nathan has more trouble with Daunte.,14460,41
4,9,2006-11-29,Some You Give Away,"As the Ravens prepare for the championship, Lucas learns Nathan intends to throw the game and decides on a risky plan to even the odds. Karen insists Deb show up for her son's final game and tries to help her get there. Also Dan makes a last plea with Daunte.",14462,40
4,10,2006-12-06,Songs to Love and Die By,"After a cardiac incident, Lucas has a dream in which the spirit of Keith visits and shows him how much one life can affect the lives of others, with a nod to “It's a Wonderful Life.” Elsewhere, Hayley is the victim of an accident and Dan helps out Nathan.",14463,40
4,11,2007-01-17,Everything In Its Right Place,"The aftermath of the series of unfortunate events at Tree Hill begins. Lucas returns to his everyday life, following his heart attack, and tries to rekindle his relationship with Peyton. However, things are rougher for Haley when she discovers that Nathan had more involvement in her accident than she could have ever imagined.",14467,39
4,12,2007-01-24,Resolve,"Haley finds herself frustrated over her injuries while Skills and Mouth help Nathan find a job as a stripper in order to earn money for the senior prom. Meanwhile, Brooke betrays Rachel in order to get with a new guy and Lucas and Peyton finally reach happiness in their relationship.",14468,40
4,13,2007-02-07,Pictures of You,"A class assignment reveals the deepest secrets and desires of Lucas and the students at Tree Hill High. Worried about college prospects, Skills turns to Haley, while Nathan wrestles with Deb's suicide attempt. Chase learns that Brooke cheated on her calculus exam, while nudity and drugs run rampant in the halls of the school.",14466,41
4,14,2007-02-14,Sad Songs for Dirty Lovers,"Haley confronts Brooke regarding the stolen calculus test. Lucas and Peyton consider taking their relationship to the next level as Peyton and Brooke grow closer. In Deb's absence, Nathan throws a senior party at the Scott House where a sex tape from Nathan's past surfaces.",14465,40
4,15,2007-02-21,Prom Night at Hater High,"It's Prom day, and emotions are flying high at Tree Hill. An emotional Haley confronts Nathan about the sex tape and asks for a list of all his past sexual encounters. Meanwhile, an angry Peyton asks Lucas to skip the dance altogether, but he refuses to take no for an answer. Finally, Brooke and Peyton let out all their tension in a confrontation that can tear them apart forever.",14464,41
4,16,2007-05-02,"You Call It Madness, But I Call It Love","It's Prom night, but things start to go awry as Lucas discovers who was the person in the hallway when Keith was killed, and psycho Derek holds Peyton hostage at her own house. Meanwhile, Haley and Nathan vow to be romantic with each other throughout the night, and Dan continues to win over Karen's affections.",14469,40
4,17,2007-05-09,It Gets the Worst at Night,"When Mouth and Rachel's road trip goes wrong, the other teens go out to their rescue. While on the trip, Nathan and Haley get a second chance to enjoy their Prom and Peyton and Lucas decide to take their relationship to the next level. Finally, Brooke reveals the truth about the stolen calculus exam to Haley.",14470,41
