season_number,episode_number,air_date,name,overview,id,runtime
4,18,2007-05-16,The Runaway Found,"Brooke and Peyton finally rekindle their friendship, Nathan's past mistakes continue to haunt him and Haley, and Lucas hears a shocking confession from the witness to Keith's murder.",14474,41
4,19,2007-05-30,Ashes of Dreams You Let Die,"As the end of the school year approaches, Peyton considers participating in a music internship in Los Angeles, while Brooke tries to reconnect with Chase through yearbook signatures, and Haley struggles to write her valedictorian speech. Meanwhile, Dan suggests that Lucas get professional help when Karen worries about his obsession with theories about Keith's murder.",14472,40
4,20,2007-06-06,The Birth and Death of the Day,"As graduation approaches, Haley prepares for the recital of her valedictorian speech and motherhood. Nathan must adjust to life without basketball, while Brooke makes a confession that may have great consequences. Lucas confronts Dan after Karen's life is threatened.",14473,41
4,21,2007-06-13,All of a Sudden I Miss Everyone,"Dan must face the harsh consequences of his decision to murder Keith as Karen and Haley's pregnancies complicate the lives of Nathan and the graduating seniors of Tree Hill High. Lucas wrestles with his post-high school options, and Peyton and Brooke prepare to spend the summer in Los Angeles together.",14471,41
5,1,2008-01-08,"4 Years, 6 Months, 2 Days","It's four years into the future and the Tree Hill gang has finished college. Now, their lives have taken completely different directions. Lucas has written and published a book, Brooke has made it big in the fashion industry with her brand ""Clothes Over Bro's"", Peyton is pursuing a career in the music business, and Nathan and Haley continue to raise a now older James.",14477,42
5,2,2008-01-08,Racing Like a Pro,"Haley tries to make Nathan understand what is going to happen if he doesn't change his ways. Lucas and Skills prepare James to compete in a race-car competition. Meanwhile, Brooke faces problems at her company and Peyton meets Lucas' new girlfriend. Mouth gets a job but it doesn't turn out well.",14478,42
5,3,2008-01-15,My Way Home is Through You,"Now that Peyton and Brooke are back in Tree Hill, Lindsey worries that the two might threaten her and Lucas' relationship. Meanwhile, Nathan visits Dan in prison (his first visit in four years) and gives him a picture of his grandson. Meanwhile, Haley tries to persuade Quentin to return to school, Brooke opens her store in the old Karen's Cafe and Peyton signs her first band.",14479,42
5,4,2008-01-22,It's Alright Ma (I'm Only Bleeding),"Peyton wants Haley to work with Jason on his music but he refuses to. Mouth is involved in a relationship with his boss and age is a factor in it. As the opening of Clothes over Bros approaches, Brooke finds herself in a few problems. Nathan takes strides to help Quentin.",14481,42
5,5,2008-01-29,I Forgot to Remember to Forget,"In this flashback episode, memories are looked back upon. Lucas surprises Peyton in Los Angeles and they talk. He asks her something and is left with a surprising answer. Meanwhile, Nathan's temper triggers up after a guy reminds him of his cheating in high school basketball games.",14480,42
5,6,2008-02-05,Don't Dream It's Over,"It's confrontation time in Tree Hill, as Lucas confronts Peyton about her nasty behavior towards Lindsey and Brooke must confront Victoria about meddling with Peyton's record label. Meanwhile, Nathan begins to grow closer to Carrie, Haley continues to struggle in dealing with Quentin, and Mouth must choose sides between his co-workers and Alice.",14482,42
5,7,2008-02-12,In Da Club,The Honorary Title performs at Tric and Mia plays her song there as well. Carrie tries to get closer to Nathan. Brooke sets Mouth up on a blind date with her assistant and Lindsey confronts Lucas about Peyton.,14483,42
5,8,2008-02-19,"Please, Please, Please Let Me Get What I Want",Brooke continues to pursue Owen. Haley sees something happening in Peyton's office. Quentin needs to change his negative approach in order to succeed in the season-opening game. Mouth tries to win Millicent back.,14484,42
5,9,2008-02-26,For Tonight You're Only Here to Know,"Haley, Brooke, Peyton, Lindsey and Mia get locked in the Tree Hill High library on the night of the Ravens' first game. Also Brooke tries to stand up for her mother, while Lucas and Nathan discuss whether to tell their loved ones about their indiscretions.",14485,42
5,10,2008-03-04,Running To Stand Still,"Brooke runs into someone from her past while on a trip to New York with the Tric bartender, Owen. Nathan and Lucas attend Dan's hearing while they try to protect Jamie from him. Mia gets an offer from a major record label and in the meantime, Haley and Nathan's marriage is on the rocks.",14486,42
5,11,2008-03-11,You're Gonna Need Someone On Your Side,"On the eve of Lucas and Lindsey's wedding, they conspire to save Nathan and Haley's marriage. Brooke pairs Peyton with an old boyfriend, while  Rachel and Dan return to Tree Hill.",14489,42
5,12,2008-03-18,Hundred,"On Lucas and Lindsey's wedding day, Peyton must choose between intervening and losing Lucas forever. Nathan uses the event to try to mend his marriage to Haley. All are shocked when Dan, who is out of prison on parole, shows up at the event.",14488,42
5,13,2008-04-14,"Echoes, Silence, Patience and Grace","Lucas picks up the pieces after being left at the altar by Lindsey, while Nathan and Haley deal with the repercussions of Jamie's abduction. Dan is free for now, but he must find himself a job to convince the parole that he is changed for good. Brooke is haunted by her past as a woman from adopting asks her questions, while Peyton gets a visit from an old friend.",14487,42
5,14,2008-04-21,What Do You Go Home To?,"Nathan and Haley have learned from the mistakes with the nanny, so they decide to interview potential nannies or mannies, but it goes in a completely different way. Meanwhile Brooke still wants to go ahead with adopting a baby. Mouth and Millicent take a new step in their relationship and Quentin must reconsider his intentions.",14492,42
5,15,2008-04-28,Life is Short,"Nathan and Haley throw a birthday party for Jamie. Deb hired a clown, and Haley is not happy with it since it's a creepy one. Lindsey returns to Tree Hill for Jamie's birthday, which gives Lucas hope that the relationship will be rekindled. When Dan arrives, Deb's mood swings fast and in the meantime Brooke and Peyton attend the party with baby Angie.",14490,42
5,16,2008-05-05,Cryin' Won't Help You Now,Lucas investigates Dan's heart condition. Haley struggles with letting Dan into Jamie's life. Peyton also still struggles with her guilt over Lucas' breakup and Mouth finally gets the chance to be a sports anchor.,14491,42
5,17,2008-05-12,Hate is Safer Than Love,"Lucas is crushed by devastating news. Quentin is pushed to his limits during a Ravens game. Dan's is second on the donor recipient list to get a new heart. Haley thinks about her decision to release a new album while Brooke's baby undergoes emergency surgery and a shocking truth stuns Peyton, told by Lucas.",14494,42
5,18,2008-05-19,What Comes After the Blues,"The Tree Hill residents are forced to face their fears as Dan turns over on a new leaf and Brooke taking the hardest decision of her life.  In the meantime,  Haley's career takes a turn and Peyton is visited by somebody from her past. Mouth and Millicent meet a new face. With all, Lucas and Brooke help each other through the struggles.",14493,42
6,1,2008-09-01,Touch Me I'm Going to Scream,"In the sixth season premiere, Tree Hill residents must make a decision that will change their lives forever. Lucas finally pursues his dream with the woman he loves, Brooke must face a reunion with her mother, Mouth makes a revelation, Nathan and Haley must face a ghost from their past and the news of Dan's accident is slowly beginning to spread.",14495,42
6,2,2008-09-08,One Million Billionth of a Millisecond on a Sunday Morning,"Tree Hill residents are surprised to learn that a couple will indeed get married. Brooke tries to adjust to life after the robbery at ""Clothes Over Bros"". Nathan and Haley receive devastating news and Nanny Carrie's return creates more blanks than answers, after she kidnaps Dan - whose life is in jeopardy.",14496,42
6,3,2008-09-15,Get Cape. Wear Cape. Fly.,"When tragedy strikes in Tree Hill, Nathan and Haley experience difficulties breaking the news. Brooke still hurt over the robbery, questions her friendship with Peyton, and Lucas and Skills finally meet Quentin's mother.",14497,42
6,4,2008-09-22,Bridge Over Troubled Water,"Brooke takes a trip to New York with Victoria. Peyton begins connecting with Mick Wolf, who begins telling stories about her parents. Haley continues having problems with a student and Nathan is confronted by a vision of Quentin.",14498,42
6,5,2008-09-29,"You’ve Dug Your Own Grave, Now Lie in It","Nanny Carrie continues to wreck havoc when she puts both Haley and Jamie's life at risk. Lucas reunites with Lindsey for a business meeting. Meanwhile, Brooke struggles for power at ""Clothes Over Bros"" after Victoria continues making unexpected decisions.",14499,42
6,6,2008-10-13,Choosing My Own Way of Life,"As Lucas sets out on his book tour, he runs into a person from his past. Nathan finally gets a chance to prove himself on the court, but begins to question his health as he does so. Meanwhile, Haley reaches out to a student; Brooke debates a life-changing decision; and Peyton confronts Mick over his true identity.",14500,42
6,7,2008-10-20,Messin’ With The Kid,"Nathan and Haley must team up to help Jamie deal with a school bully. Meanwhile, Lucas and Peyton continue to adjust to life as a live-in couple. Elsewhere, Mouth tries to get his old job back.",14501,42
6,8,2008-10-27,Our Life is Not a Movie or Maybe,"Lucas' novel receives interest from a suprising person, as does Mouth as he meets his new intern. Jamie begins to develop a crush on Sam and her rebellious ways, while someone becomes enamored with Brooke. Meanwhile, Haley and Nathan discuss his return to baskeball as his comeback begins to look more like a reality.",14502,42
6,9,2008-11-03,Sympathy for the Devil,"Sam teaches Jamie about money. Brooke must decide whether to date Owen again, since he broke her heart the last time. Nathan comes face to face with an old rival. Meanwhile, Lucas' novel forces him to make jeopardizing decisions, and Peyton meets the movie producer, Julian.",14503,42
6,10,2008-11-10,Even Fairy Tale Characters Would be Jealous,"Tension arises backstage at Peyton's USO show as Lucas deals with Peyton and Julian's past. While Haley tries to find a way to ease her stage fright, Nathan grapples with a decision that could forever change his career. Meanwhile, Brooke receives a call that could end her relationship with Sam and Millicent confronts Mouth over Gigi.",14504,42
6,11,2008-11-17,"We Three (My Echo, My Shadow and Me)","Lucas falls asleep and dreams of a 1940s Tree Hill were he owns Karen's Cafe. Here, Dan is a dangerous mobster and everyone is entangled in his web: Brooke owes him money, Mouth is searching for proof that would link him to Keith's murder, Haley is his former lounge singer, and Lucas is in love with his step-daughter Peyton.",14505,42
6,12,2008-11-24,You Have Got to be Kidding Me (Autopsy of the Devil's Brain),"Brooke is shocked to find out that Samantha is in her room with a boy named Jack. Along with that, Julian asks her to make some clothes for the movie. Peyton tries to get Mia to focus on her follow-up album. Lucas is excited when he travels to Hollywood to meet the director of the movie. Meanwhile, Nathan gets the chance for a pro-basketball try-out. Haley takes Jamie to his school's talent show and Millicent confronts Mouth about Gigi.",14506,42
6,13,2009-01-05,Things A Mama Don’t Know,"Peyton shares some startling news with Lucas, who discovers that Julian has been keeping another secret about the movie. While searching for runaway Sam, Brooke is forced to confront her lingering feelings over her attack. Nathan struggles with his new professional environment.",14507,42
6,14,2009-01-12,A Hand To Take Hold of The Scene,"News of Peyton's condition spreads like wildfire through Tree Hill. Brooke tries to suss out Julian's intentions. Mouth and Millicent strive to keep their relationship going. Meanwhile, Brooke and Lucas babysit Jamie and his friend when Nathan and Haley spend a night out together.",14508,42
6,15,2009-01-19,"We Change, We Wait","Lucas and Julian have a difficult time finding the right director for their movie. Meanwhile, a present from Lucas confuses Peyton and Brooke battles with romantic complications.",14509,42
6,16,2009-02-02,Screenwriter's Blues,"As Lucas begins to start casting for his movie, Peyton begins to put together plans for their wedding. Meanwhile, Dan gives Jamie advise when he has his first school crush; Brooke is introduced to the actress that will play her in Lucas' movie; Nathan receives exciting news; and Haley is forced to make a tough decision at work.",14510,42
6,17,2009-03-16,You And Me And The Bottle Makes Three Tonight,"Peyton and Lucas deal with shocking news about Peyton's pregnancy as Brooke and Julian face a crossroads in their relationship. Meanwhile, Nathan and Haley celebrate their anniversary, with Dan and Deb babysitting Jamie; and Mouth and Millie work to redefine their relationship.",14511,42
6,18,2009-03-23,Searching For a Former Clarity,"As Lucas and Julian face a setback in their film production, Peyton and Haley team up to help Mia with her new single. Meanwhile, Brooke faces a crisis when Sam is arrested; and Jamie learns the truth about Dan and Keith.",14512,42
6,19,2009-03-30,Letting Go,"While Julian makes Brooke a surprising offer, Lucas takes Nathan and Jamie to an important place from his past. Meanwhile, Peyton prepares for the future; Sam and Jack go up against the principal who fired Haley; and Skills and Mouth go on a road trip to help Mouth forget Millie.",14513,42
6,20,2009-04-20,I Would for You,"The parents of Tree Hill face difficult challenges: Lucas finds himself fighting to stay calm when Peyton's pregnancy faces further problems, Nathan and Haley clash over the decision to pull Jamie out of school, and Victoria returns to tempt Brooke back into the business. Meanwhile, Mouth continues to mend his relationship with Millie.",14514,42
6,21,2009-04-27,A Kiss to Build a Dream On,"Nathan and Haley both face their dreams as he questions his ambition to play in the NBA and she receives an offer from Nick Lachey. Meanwhile, Brooke learns something that could change Sam's life forever, Jamie attends his first school dance, and Lucas and Peyton take a road trip.",14515,42
6,22,2009-05-04,Show Me How To Live,"The families of Tree Hill draw closer as Lucas bonds with Jamie while working on Peyton's car, Sam develops a connection with Victoria, and Brooke and Haley throw Peyton a baby shower. Meanwhile, Nathan's ambitions seem closer than ever when he learns that an NBA scout will be watching his next game.",14516,42
6,23,2009-05-11,Forever and Almost Always,"Lucas and Peyton's wedding day finally arrives, bringing some surprise guests along with it. Haley finds herself playing an unexpected role in the ceremony, as Skills and Brooke try to control Jamie and Nick. Meanwhile, Nathan continues to hope to be drafted into the NBA.",14517,42
6,24,2009-05-18,Remember Me As A Time Of Day,"Tree Hill bids goodbye to the past while anticipating the future: Lucas and Peyton prepare for the birth of their child with the help of a surprise visitor, Dan nears his end, and Brooke works with Victoria to relaunch Clothes Over Bro's. Meanwhile, Nathan returns to Tree Hill to face Haley and Jamie after being released from the Chiefs.",14518,42
7,1,2009-09-14,4:30 AM (Apparently They Were Travelling Abroad),"A year has passed since Lucas and Peyton left Tree Hill, and the Tree Hill gang move forward after achieving their goals. Nathan has completed his first year in the NBA, Haley has taken over Red Bedroom Records, and Brooke continues to run Clothes Over Bro's while moving forward in her relationship with Julian.",14519,42
7,2,2009-09-21,What Are You Willing To Lose,"While recording her new album, Haley must work to save Red Bedroom Records and enlists Mia's help to do so. Meanwhile, Brooke, with Millicent's help, searches for the new face of her clothing line; Clay defends Nathan as the scandal continues to grow; Julian and Brooke decide to move in together; and Dan returns to Tree Hill with a new bride in tow.",14520,42
7,3,2009-09-28,Hold My Hand As I'm Lowered,"While Clay and Nathan are at odds over how to handle the worsening scandal, Haley begins to doubt Nathan and believe that Renee's accusations may be true. Quinn and Brooke put together a photo shoot, and Mouth goes to the next level in his battle with Skills. Meanwhile, Alex makes Julian an offer.",14521,42
7,4,2009-10-05,"Believe Me, I'm Lying","Nathan’s (James Lafferty) scandal becomes public. Brooke’s (Sophia Bush) fashion show brings an unexpected responsibility for Millicent (Lisa Goldstein), and Haley (Bethany Joy Lenz) convinces Quinn (Shantel VanSanten) to talk to her estranged husband David (guest-star Scott Holroyd”). Meanwhile, Mouth (Lee Norris) makes a decision that could threaten his career.",14522,42
7,5,2009-10-12,Your Cheatin' Heart,"Haley (Bethany Joy Galeotti) is thrust into the spotlight and storm of Nathan’s (James Lafferty) growing scandal. Against her better judgement, Brooke (Sophia Bush) allows Julian (Austin Nichols) to continue working with Alex (Jana Kramer “Entourage”). Millicent (Lisa Goldstein) gets a new job, which may cause trouble for Mouth (Lee Norris). Meanwhile, Clay (Robert Buckley) and Quinn (Shantel VanSanten) grow closer.",14523,42
7,6,2009-10-19,Deep Ocean Vast Sea,"Haley (Bethany Joy Galeotti) considers taking matters into her own hands as Nathan’s (James Lafferty) scandal threatens his endorsement deals. Julian (Austin Nichols) gives Alex (guest star Jana Kramer) another chance, and Brooke (Sophia Bush) reconnects with Chase (guest star Stephen Colletti). Millicent (Lisa Goldstein) questions whether she has what it takes to be a model. Meanwhile, Clay (Robert Buckley) lets Quinn (Shantel VanSanten) in on a big secret.",14524,42
7,7,2009-10-26,I and Love and You,"Dan brings Renee onto his television show, leaving Nathan and Haley powerless to stop him from revealing the truth of her pregnancy to the world. Quinn examines what went wrong with David, and Sara and Clay discuss their past. Meanwhile, Brooke comes clean with Julian about her true desires.",14525,42
7,8,2009-11-02,I Just Died In Your Arms Tonight,"Julian agrees to a weekend camping trip but struggles to fit in with Nathan and the guys. Back in Tree Hill, Brooke and Haley spend Girl’s Night doing a little bonding of their own, and Quinn helps Clay come to terms with a tragic loss. Meanwhile, Dan and Rachel’s past catches up to them.",14526,42
7,9,2009-11-09,Now You Lift Your Eyes to the Sun,"Haley returns to the stage and Brooke receives life-changing news. Meanwhile, Dan Scott returns to Tree Hill much to the chagrin of Nathan, who is about to sign a new NBA contract with the help of his agent Clay.",14527,42
7,10,2009-11-16,You Are A Runner And I Am My Father's Son,"Nathan reaches the breaking point with Clay, causing a rift between Haley and Quinn. Brooke comes clean with Julian about her worries regarding his growing connection to Alex. Meanwhile, Skills pursues a new career in LA and Millicent’s drug problem worsens.",14528,42
7,11,2009-11-30,"You Know I Love You, Don’t You","Nathan and Haley’s careers bring about a tough decision for the family, and Julian divulges a secret to Alex that leads to a confrontation with Brooke. Meanwhile, Clay tries to resuscitate his career as an agent, and Jamie learns the truth about Skills’ new job. And a fresh-from-jail Millie finds an unlikely supporter in Victoria.",14535,42
7,12,2009-12-07,Some Roads Lead Nowhere,"As Nathan and Haley prepare for the family’s move to Barcelona, Brook struggles to accept Julian’s reaction to Alex’s crisis. Quinn helps Clay hatch a plan to win back Nathan as a client. Meanwhile, Millie’s downward spiral puts her and Mouth at a crossroads, and Dan Scott’s pronouncement shocks Rachel and his audience.",14536,42
7,13,2010-01-18,Weeks Go By Like Days,"The Scott family joins Haley on the last leg of her tour, while Brook and Julian reconnect after their 6-week break. Clay and Quinn try to figure out how to move forward after his public declaration of love, and a post-rehab Alex tries to make amends with herself and the people she's let down.",14529,42
7,14,2010-01-25,Family Affair,"Nathan tries to keep Haley calm after Taylor shows up at their house with Quinn’s ex-husband in tow. Julian sticks up for Alex on the set of their movie, and Brooke leans on Alexander to ease her heartache. Meanwhile, Clay gets a chance to prove his commitment to Quinn by helping her through a dinner with her sister and David.",14530,42
7,15,2010-02-01,Don't You Forget About Me,"In the chaos surrounding an 80's alumni dance at the high school, Haley's birthday is forgotten, Jamie is left home alone, and Nathan and Clay are stranded 200 miles from Tree Hill. Meanwhile, Brooke's appearance at the dance with Alexander forces Julian to relive his dorky adolescence in an episode dedicated to the memory of John Hughes.",14531,42
7,16,2010-02-08,My Attendance Is Bad But My Intentions Are Good,"Brooke and Julian try to find a balance between their personal lives and work as the movie shoot begins. Nathan and Haley receive a surprise visit, and Clay supports Quinn as she faces some unexpected news., Alex sets her sights on Alexander, and Millicent finds herself struggling with temptation.",14532,42
7,17,2010-02-15,At The Bottom Of Everything,"Nathan tries to help Haley and Jamie confront Lydia's seemingly hopeless situation, while Brooke and Julian navigate their volatile relationship in the midst of a hectic movie shoot. Meanwhile, Clay and Quinn spend some time apart, and Miranda tries to prove to Grubbs that she's the right person to produce his album.",14533,42
7,18,2010-02-22,The Last Day of Our Acquaintance,"As Brooke angrily deals with Alexs tryst with Julian, Lydias condition worsens, prompting Quinn and Haley to try to reconnect with Taylor. Clay is forced to deal with Katies unsettling advances, and Nathan helps Jamie come to terms with Lydias impending death.",14534,42
7,19,2010-04-26,Every Picture Tells a Story,"On the eve of Quinn’s big gallery opening, an uninvited guest ambushes Clay. Nathan spends the day with Jamie, while Haley struggles with life after her mother’s passing. Brooke and Julian each receive a shocking surprise. Meanwhile, Skills learns the truth about Lauren and Mouth.",14537,42
7,20,2010-05-03,Learning To Fall,"Nathan and Haley struggle with the aftermath of her mother's death, while Brooke deals with the fallout of Alexander's tryst with Victoria. Alex discovers a secret about her leading man, Josh, that could derail Julian's film, and Clay is confronted by an unhinged Katie.",14538,42
7,21,2010-05-10,What’s In The Ground Belongs To You,"Nathanstruggles to reach an increasingly despondent Haley, while Quinn leads Jamie on a Tree Hill treasure hunt. Julian shows his finished film to Brooke, and Clay is forced to deal with a deranged Katie.",14539,42
7,22,2010-05-17,Almost Everything I Wish I'd Said the Last Time I Saw You,"Haley tries to overcome her depression by joining Nathan, Jamie and the rest of the Tree Hill gang on a trip to Utah for the premiere of Julian's film.",14540,42
8,1,2010-09-14,Asleep at Heaven's Gate,"As the gang returns from Utah, Brooke and Julian are engaged, Haley learns that she is pregnant, Nathan must leave for training camp, and Clay and Quinn are assaulted and shot by Katie.",14541,42
8,2,2010-09-21,"I Can't See You, But I Know You're There","Clay and Quinn discover they’ve been shot, and as they fight to live, Nathan and Haley struggle with the situation..... Meanwhile, Julian tries to preoccupy Jamie, and Brooke's legal troubles mount.",14543,42
8,3,2010-09-28,The Space in Between,"As the situation at the hospital worsens; Nathan makes a huge decision regarding his career. Brooke and Julian take Jamie for the day, while Victoria and Millicent hatch a plan.",14545,42
8,4,2010-10-05,We All Fall Down,Brooke deals with the mounting financial problems at Clothes Over Bro's; Julian starts a new film project; Alex and Chase spend an afternoon together.,14544,42
8,5,2010-10-12,Nobody Taught Us to Quit,Nathan considers leaving the NBA; Victoria and Brooke try to handle the company's financial problems; Chase learns a secret about Alex.,14542,42
8,6,2010-10-19,Not Afraid,"As Halloween approaches in Tree Hill, Brooke and Julian get an unexpected visitor, and Nathan begins a new career. Meanwhile, Clay and Quinn struggle with life back at the beach house, and Haley and Mia host an open mic night at Tric.",14546,42
8,7,2010-11-02,Luck Be a Lady,"As the wedding approaches, Brooke tries to connect with Sylvia, while Julian  looks for his best man at a guys' poker night. Meanwhile, Nathan struggles in his new job, while Haley's counseling abilities are challenged, and Skills returns to town with a new friend.",14547,42
8,8,2010-11-09,Mouthful of Diamonds,"Nathan’s career as an agent takes a big step forward when he visits Atlanta, while Haley consoles Jamie regarding his new braces. The drama between Brooke and Sylvia finally comes to a head, and Chase makes a decision regarding Mia and Alex.",14548,42
8,9,2010-11-16,Between Raising Hell and Amazing Grace,The gang gathers at Nathan and Haley’s to spend Thanksgiving with friends and family.,14549,42
8,10,2010-11-30,"Lists, Plans","Brooke and Julian go skydiving, while Haley sets up a concert at Tric featuring Kid Cudi. Meanwhile, Quinn sneaks out of town to visit a familiar face.",14550,42
8,11,2010-12-07,Darkness on the Edge of Town,"A storm strikes Tree Hill, putting everyone's life in danger.",14553,42
8,12,2011-01-25,The Drinks We Drank Last Night,"After a wild night out on the town for her bachelorette party, Brooke and the girls try to piece together the night before amidst the wreckage of the day after.",14551,42
8,13,2011-02-01,The Other Half of Me,"Brooke and Julian’s wedding day is finally here. Dreams become reality, secrets are revealed and wedding hookups are inevitable.",14552,42
8,14,2011-02-08,Holding Out for a Hero,"Brooke, Quinn and Haley decide to use their talents for the greater good. Meanwhile, Julian takes on a directing job and helps out a friend, and Chase mentors Chuck.",14556,42
8,15,2011-02-15,Valentine's Day Is Over,"Secrets, sex games and shoelaces are all involved as the couples of Tree Hill celebrate Valentine's Day.",14554,42
8,16,2011-02-22,I Think I'm Gonna Like It Here,"As the girls plan a surprise baby shower for Haley, the guys participate in try-outs for Jamie’s baseball team. Meanwhile, Brooke and Julian pursue adoption... while Mouth gets Millicent ready for her first day at work.",14555,42
8,17,2011-03-01,"The Smoker You Drink, The Player You Get","As Haley’s due date approaches, she takes steps to ensure that all her friends and family will be ready when the time comes. Brooke and Julian also prepare to begin a family, while Chuck turns to Chase for help with a problem.",14558,42
8,18,2011-04-19,Quiet Little Voices,"The big day has finally arrived and the gang gathers at the hospital to await the birth of Haley and Nathan’s baby. While they wait, they reminisce about the memories they have shared over the years.",14557,42
8,19,2011-04-26,Where Not to Look for Freedom,"While Haley stays at home to take care of the new baby, Quinn organizes a concert at Tric. Meanwhile, Brooke gets an offer to return to Clothes Over Bros, and Nathan sets his sights on exposing Professor Kellerman.",14559,42
8,20,2011-05-03,The Man Who Sailed Around His Soul,"As Nathan, Julian and Clay coach Jamie’s first little league game, the situation regarding the accident comes to a head. Meanwhile, Chase asks Alex to take a drug test for him, and Quinn gets an offer to shoot in Puerto Rico.",14562,42
8,21,2011-05-10,"Flightless Bird, American Mouth","Nathan, Jamie, Clay, Julian, Chase and Chuck have a camp-out on the Rivercourt. Meanwhile, Brooke, Quinn, Alex and Lauren take a trip to Puerto Rico.",14560,42
8,22,2011-05-17,"This Is My House, This Is My Home","As Brooke and Haley prepare to re-open Karen’s Café, Nathan and Clay hit the road looking for new prospective clients. Meanwhile, Chase leaves for the Air Force leaving behind a disappointed Alex and Chuck, and Mouth and Millicent begin their new morning show together.",14561,42
9,1,2012-01-11,"Know This, We've Noticed","As Brooke and Julian begin to adjust to life with their new children, Haley and Nathan find themselves dealing with similar issues. Although they don't know it yet, faces from the past threaten to interrupt plans for all their futures. Meanwhile, a mysterious problem arises for Clay and Quinn.",14573,42
9,2,2012-01-18,In the Room Where You Sleep,Brooke and her father discuss a new business venture; Julian worries about his investment; Quinn talks Clay into getting help; Millie tries to be honest with Mouth; Alex receives a tempting offer.,14574,42
9,3,2012-01-25,Love The Way You Lie,"Dan helps a struggling Haley at Karen’s Café. Meanwhile, Quinn discovers that Clay is hiding something from her, and Chase tries to mend a broken heart. Brooke is let down by her lunch plans with her dad, and Julian makes a life-changing mistake.",14575,42
9,4,2012-02-01,Don't You Want to Share the Guilt?,"As Julian deals with his guilt, Brooke helps Haley confront a new rival cafe, and its difficult owner. Meanwhile, Chase's new girl has a complicated secret, and Quinn takes extreme measures that help Clay realize he's worse off than he thought.",14571,42
9,5,2012-02-08,The Killing Moon,"As Quinn distracts Jamie, Haley searches for Nathan. Clay finally gets answers about his condition. Meanwhile, Julian attempts to get back to a normal life, while Brooke tries to give Tara a chance.",14564,42
9,6,2012-02-15,Catastrophe and the Cure,"Dan enlists Julian to help in his search for Nathan. Mouth fills Clay in about Nathan, as Haley explains Nathan’s disappearance to Jamie. Brooke gets an idea of how to bring patrons to an empty Karen’s Café, and Chris Keller confronts Chase about Tara.",14565,42
9,7,2012-02-22,Last Known Surroundings,Haley seeks help from Lucas as Nathan (James Lafferty) makes an escape attempt. Brooke comes face-to-face with Xavier. Juliain uncovers evidence that assists Dan in his search for Nathan. Clay makes a connection with another patient.,14569,42
9,8,2012-02-29,A Rush of Blood to the Head,Haley receives news of a possible tragedy. Dan’s search for Nathan leads him back to his dark past. Clay has a breakthrough in his treatment. Brooke and Julian deal with Xavier. Chase’s concern for Chuck pushes him to his limits.,14570,42
9,9,2012-03-07,Every Breath Is a Bomb,"Brooke and Julian take new measures to protect their family. Skills helps Mouth get to a turning point, and Chase faces consequences for defending Chuck. Clay reaches a new understanding with Logan.",14566,42
9,10,2012-03-14,"Hardcore Will Never Die, But You Will","Dan, Julian and Chris Keller attempt to rescue Nathan. Brooke’s conflict with Xavier escalates. Quinn and Clay revisit the past.",14567,42
9,11,2012-03-21,Danny Boy,"The search for Nathan becomes increasingly dangerous, and Dan’s  life hangs in the balance. Brooke is surprised when her father returns. And Clay and Quinn reconnect with Logan.",14572,42
9,12,2012-03-28,Anyone Who Had A Heart,"As Haley prepares to emcee the annual Tree Hill Burning Boat Festival, Brooke uses the opportunity to process her father’s betrayal, while Julian tries to breathe new life into a past idea. Mouth and Millie make a change to their morning show, and Clay and Quinn get ready for Logan’s first night at the beach house.",14563,42
9,13,2012-04-04,One Tree Hill,"In the final chapter of One Tree Hill, the tenth anniversary of Tric brings old faces and new possibilities for the Tree Hill family.",14568,42
